#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
e_danubia_adj;Danubian;Danubian;Danubian;;Danubian;;;;;;;;;;
e_dutch;Dutch Empire;Dutch Empire;Dutch Empire;;Dutch Empire;;;;;;;;;;
e_dutch_adj;Dutch;Dutch;Dutch;;Dutch;;;;;;;;;;
e_gaul;Gallic Empire;l'Empire Gaulois;Gallisches Kaiserreich;;Imperio Galo;;;;;;;;;x;
e_gaul_adj;Gallic;Gaulois;Gallischer;;Galo;;;;;;;;;x;
e_jewish;Jewish Empire;Jewish Empire;Jewish Empire;;Jewish Empire;;;;;;;;;;
e_jewish_adj;Jewish;Jewish;Jewish;;Jewish;;;;;;;;;;
e_maghreb;Maghreb Empire;Empire Maghrébin;Maghrebinisches Kaiserreich;;Maghreb Empire;;;;;;;;;x;
e_maghreb_adj;Maghreb;Maghrébin;Maghrebinisch;;Maghreb;;;;;;;;;x;
e_norman;Norman Empire;Empire Normand;Normannisches Kaiserreich;;Norman Empire;;;;;;;;;x;
e_norman_adj;Norman;Normand;Normannisch;;Norman;;;;;;;;;x;
e_north_sea;North Sea Empire;Empire de la Mer du Nord;Nordseekaiserreich;;North Sea Empire;;;;;;;;;x;
e_north_sea_adj;North Sea;Mer du Nord;Nordseeisch;;North Sea;;;;;;;;;x;
e_outremer;Outremer Empire;Empire d'Outre-mer;Kreuzfahrerkaiserreich;;Outremer Empire;;;;;;;;;x;
e_outremer_adj;Outremer;Ultramarin;Outremerisch;;Outremer;;;;;;;;;x;
e_romania;Romanian Empire;Empire Roumain;Rumänisches Kaiserreich;;Romanian Empire;;;;;;;;;x;
e_romania_adj;Romanian;Roumain;Rumänisch;;Romanian;;;;;;;;;x;
e_seleucid;Seleucid Empire;Seleucid Empire;Seleucid Empire;;Seleucid Empire;;;;;;;;;;
e_seleucid_adj;Seleucid;Seleucid;Seleucid;;Seleucid;;;;;;;;;;
e_slavic;Slavic Empire;Slavic Empire;Slavic Empire;;Slavic Empire;;;;;;;;;;
e_slavic_adj;Slavic;Slavic;Slavic;;Slavic;;;;;;;;;;
ftt_ai;Setup Flavourful Titular Titles;Setup Flavourful Titular Titles;Setup Flavourful Titular Titles;;Setup Flavourful Titular Titles;;;;;;;;;;
ftt_ai_desc;Decide if the AI can or cannot create FTT related titles (and how quickly titular titles acquire land if you own the Charlemagne DLC.);Decide if the AI can or cannot create FTT related titles (and how quickly titular titles acquire land if you own the Charlemagne DLC.);Decide if the AI can or cannot create FTT related titles (and how quickly titular titles acquire land if you own the Charlemagne DLC.);;Decide if the AI can or cannot create FTT related titles (and how quickly titular titles acquire land if you own the Charlemagne DLC.);;;;;;;;;;
ftt_change;Adjust FTT Options;Adjust FTT Options;Adjust FTT Options;;Adjust FTT Options;;;;;;;;;;
ftt_change_desc;Adjust FTT Options;Adjust FTT Options;Adjust FTT Options;;Adjust FTT Options;;;;;;;;;;
GRANDDUCHESS;Grand Duchess;Grande-Duchesse;Großherzogin;;Gran Duquesa;;;;;;;;;x;
GRANDDUKE;Grand Duke;Grand-Duc;Großherzog;;Gran Duque;;;;;;;;;x;
GRANDDUKE_FOA_TUSCANY;Your Serene Highness;Votre Altesse Sérénissime;Ihre Durchlaucht;;Su Alteza Serenísima;;;;;;;;;x;
GRANDDUKE_OF;Grand Duchy of;Grand-Duché de;Großherzogtum;;Gran Ducado de;;;;;;;;;x;
HEAD_CHIEF;Paramount Chief;Primordiale Chef;Oberhäuptling;;Jefe Supremo;;;;;;;;;x;
HEAD_CHIEF_FOA;Päällikkö;Päällikkö;Päällikkö;;Päällikkö;;;;;;;;;x;
kingdom_of_austria;Kingdom of Austria;Royaume de Autriche;Königreich von Toskana;;Reino de Austria;;;;;;;;;x;
kingdom_of_austria_desc;This decision will officially recognize us as an independent kingdom.;This decision will officially recognize us as an independent kingdom.;Diese Entscheidung wird uns als ein unabhängiges Reich offiziell anerkennen.;;This decision will officially recognize us as an independent kingdom.;;;;;;;;;x;
kingdom_of_judaism;Memlekt;Memlekt;Memlekt;;Memlekt;;;;;;;;;x;
kingdom_of_luxembourg;Kingdom of Luxembourg;Royaume de Luxembourg;Königreich von Luxembourg;;Reino de Luxembourg;;;;;;;;;x;
kingdom_of_luxembourg_desc;This decision will officially recognize us as an independent kingdom.;This decision will officially recognize us as an independent kingdom.;Diese Entscheidung wird uns als ein unabhängiges Reich offiziell anerkennen.;;This decision will officially recognize us as an independent kingdom.;;;;;;;;;x;
kingdom_of_tuscany;Kingdom of Tuscany;Royaume de Toscane;Königreich von Österreich;;Reino de Toscana;;;;;;;;;x;
kingdom_of_tuscany_desc;This decision will officially recognize us as an independent kingdom.;This decision will officially recognize us as an independent kingdom.;Diese Entscheidung wird uns als ein unabhängiges Reich offiziell anerkennen.;;This decision will officially recognize us as an independent kingdom.;;;;;;;;;x;
king_female_judaism;Malcah;Malcah;Malcah;;Malcah;;;;;;;;;x;
king_judaism;Melech;Melech;Melech;;Melech;;;;;;;;;x;
king_title_ruler_consort_female_judaism;Malcah;Malcah;Malcah;;Malcah;;;;;;;;;x;
king_title_ruler_consort_judaism;Melech;Melech;Melech;;Melech;;;;;;;;;x;
k_albania;Albania;Albania;Albania;;Albania;;;;;;;;;;
k_albania_adj;Albanian;Albanian;Albanian;;Albanian;;;;;;;;;;
k_athenai;Athenai;Athenai;Athenai;;Athenai;;;;;;;;;;
k_athenai_adj;Athenian;Athenian;Athenian;;Athenian;;;;;;;;;;
k_austria;Austria;Autriche;Österreich;;Austria;;;;;;;;;x;
k_austria_adj;Austrian;autrichien;Österreichischer;;Austriaco;;;;;;;;;x;
k_babylon;Babylon;Babylon;Babylon;;Babylon;;;;;;;;;;
k_babylon_adj;Babylonian;Babylonian;Babylonian;;Babylonian;;;;;;;;;;
k_badawi;Badawi Arabia;Arabie Badawite;Badawi-Arabien;;Arabia Badawia;;;;;;;;;x;
k_badawi_adj;Badawi;Badawien;Badawisch;;Badawia;;;;;;;;;x;
k_bahrain;Bahrain;Bahraïn;Bahrain;;Bahrain;;;;;;;;;x;
k_bahrain_adj;Bahrainian;Bahraïnien;Bahrainisch;;Bahiraní;;;;;;;;;x;
k_belgium;Belgium;Belgique;Belgien;;Bélgica;;;;;;;;;x;
k_belgium_adj;Belgian;Belge;Belgischer;;Belga;;;;;;;;;x;
k_dublin;Dublin;Dublin;Dublin;;Dublin;;;;;;;;;x;
k_dublin_adj;Dubliner;Dublinois;Dublinisch;;Dublinés;;;;;;;;;x;
k_illyria;Illyria;Illyrie;Illyrien;;Illyria;;;;;;;;;x;
k_illyria_adj;Illyrian;Illyrien;Illyrischer;;Ilirio;;;;;;;;;x;
k_iraq;Iraq;Irak;Irak;;Irak;;;;;;;;;x;
k_iraq_adj;Iraqi;Irakien;Irakisch;;Irakí;;;;;;;;;x;
k_israel;Israel;Israël;Israel;;Israel;;;;;;;;;x;
k_israel_adj;Israelite;Israélite;Israelitischer;;Israelí;;;;;;;;;x;
k_jordan;Jordan;Jordanie;Jordanien;;Jordania;;;;;;;;;x;
k_jordan_adj;Jordanian;Jordanien;Jordanisch;;Jordania;;;;;;;;;x;
k_jorvik;Jórvík;Jórvík;Jórvík;;Jórvík;;;;;;;;;x;
k_jorvik_adj;Jórvíkr;Jórvíkr;Jórvíksch;;Jórvíkr;;;;;;;;;x;
k_kaustria;Austria;Autriche;Österreich;;Austria;;;;;;;;;x;
k_kaustria_adj;Austrian;autrichien;Österreichischer;;Austriaco;;;;;;;;;x;
k_kluxembourg;Luxembourg;Luxembourg;Luxemburg;;Luxemburgo;;;;;;;;;x;
k_kluxembourg_adj;Luxembourgian;luxembourgeois;Luxemburgischer;;Luxemburguesa;;;;;;;;;x;
k_ktuscany;Tuscany;Toscane;Toskana;;Toscana;;;;;;;;;x;
k_ktuscany_adj;Tuscan;toscan;Toskanischer;;Toscana;;;;;;;;;x;
k_lucca;Lucca;Lucca;Lucca;;Lucca;;;;;;;;;;
k_lucca_adj;Luccan;Luccan;Luccan;;Luccan;;;;;;;;;;
k_luxembourg;Luxembourg;Luxembourg;Luxemburg;;Luxemburgo;;;;;;;;;x;
k_luxembourg_adj;Luxembourgian;Luxembourgeois;Luxemburgisch;;Luxemburguesa;;;;;;;;;x;
k_macedonia;Macedonia;Macédoine;Mazedonien;;Macedónico;;;;;;;;;x;
k_macedonia_adj;Macedonian;Macédonien;Mazedonisch;;Macedónio;;;;;;;;;x;
k_marino;San Marino;Saint-Marin;San Marino;;San Marino;;;;;;;;;x;
k_marino_adj;Sammarani;Sammaranien;Sammaranischer;;Sammarania;;;;;;;;;x;
k_mercia;Mercia;Mercie;Mercia;;Mercia;;;;;;;;;x;
k_mercia_adj;Mercian;Mercien;Mercianisch;;Merciana;;;;;;;;;x;
k_morea;Morea;Morea;Morea;;Morea;;;;;;;;;x;
k_morea_adj;Morean;Morean;Morean;;Morean;;;;;;;;;x;
k_morocco;Morocco;Maroc;Marokko;;Morocco;;;;;;;;;x;
k_morocco_adj;Moroccan;Marocain;Marokkanisch;;Moroccan;;;;;;;;;x;
k_roma;Rome;Rome;Rome;;Rome;;;;;;;;;x;
k_romania;Romania;Roumanie;Rumänien;;Rumania;;;;;;;;;x;
k_romania_adj;Romanian;Roumain;Rumänischer;;Rumano;;;;;;;;;x;
k_roma_adj;Roman;Romaine;Römischer;;Romano;;;;;;;;;x;
k_sami;the Sami;le Sami;der Sami;;los Sami;;;;;;;;;x;
k_sami_adj;Lappish;Lapon;Lappländisch;;Lapona;;;;;;;;;x;
k_sparta;Sparta;Sparte;Sparta;;Esparta;;;;;;;;;x;
k_sparta_adj;Spartan;Spartiate;Spartanischer;;Espartano;;;;;;;;;x;
k_tnetherlands;Netherlands;Pays-Bas;Niederlande;;Países Bajos;;;;;;;;;x;
k_tnetherlands_adj;Dutch;Néerlandais;Niederländisch;;Neerlandés;;;;;;;;;x;
k_tuscany;Tuscany;Toscane;Toskana;;Toscana;;;;;;;;;x;
k_tuscany_adj;Tuscan;Toscan;Toskanisch;;Toscana;;;;;;;;;x;
k_visigoth;the Visigoths;les Wisigoths;Westgoten;;los Visigodos;;;;;;;;;x;
k_visigoth_adj;Visigothic;Wisigothique;Westgotischen;;Visigoda;;;;;;;;;x;
k_wurttemberg;Württemberg;Wurtemberg;Württemberg;;Württemberg;;;;;;;;;x;
k_wurttemberg_adj;Württembergian;Wurttembergeoise;Württembergischer;;Württembergués;;;;;;;;;x;
k_york;York;York;York;;York;;;;;;;;;x;
k_york_adj;Yorkist;Yorkaise;Yorker;;Yorquina;;;;;;;;;x;
k_yugoslavia;Yugoslavia;Yougoslavie;Jugoslawien;;Yugoslavia;;;;;;;;;x;
k_yugoslavia_adj;Yugoslavian;Yougoslave;Jugoslawischer;;Yugoslavo;;;;;;;;;x;
MARQUIS;Marquess;Marquis;Marquis;;Marqués;;;;;;;;;x;
MARQUISE;Marquise;Marquise;Marquise;;Marquesa;;;;;;;;;x;
MARQUIS_OF;March of;Mars de;März des;;De marzo de;;;;;;;;;x;
No;No;No;No;;No;;;;;;;;;;
PADISHAH;Great Sultan;Grande Sultan;Großsultan;;Gran Sultán;;;;;;;;;x;
title_queen_mother_judaism;Malcah Ama;Malcah Ama;Malcah Ama;;Malcah Ama;;;;;;;;;x;
UNIFIED_TRIBES_OF;Unified Tribes of;Tribus unifiées de;Vereinigte Stämme der Sami;;Tribus de Unificadas de;;;;;;;;;x;
Yes;Yes;Yes;Yes;;Yes;;;;;;;;;;
